timestamp,open,high,low,close,volume
2023-09-21 19:59:00,147.5,147.5,147.5,147.5,22.0
2023-09-21 19:57:00,147.4,147.4,147.4,147.4,5.0
2023-09-21 19:56:00,147.45,147.45,147.45,147.45,25.0
2023-09-21 19:41:00,147.45,147.45,147.45,147.45,10.0
2023-09-21 19:37:00,147.4,147.4,147.4,147.4,27.0
2023-09-21 19:21:00,147.41,147.41,147.4,147.4,12.0
2023-09-21 19:20:00,147.58,147.58,147.58,147.58,5.0
2023-09-21 19:18:00,147.57,147.58,147.57,147.58,10.0
2023-09-21 19:06:00,147.75,147.75,147.75,147.75,21.0
2023-09-21 19:00:00,147.38,147.38,147.38,147.38,1006831.0
2023-09-21 18:57:00,147.58,147.58,147.58,147.58,3.0
2023-09-21 18:56:00,147.1,147.1,147.1,147.1,18.0
2023-09-21 18:52:00,147.1,147.1,147.1,147.1,1.0
2023-09-21 18:46:00,147.5,147.5,147.5,147.5,2.0
2023-09-21 18:36:00,147.58,147.58,147.58,147.58,1.0
2023-09-21 18:35:00,147.58,147.58,147.58,147.58,5.0
2023-09-21 18:30:00,147.38,147.38,147.36,147.36,1006841.0
2023-09-21 18:19:00,147.3,147.36,147.3,147.36,22.0
2023-09-21 18:12:00,147.2,147.2,147.2,147.2,1.0
2023-09-21 18:09:00,147.2,147.2,147.2,147.2,10.0
2023-09-21 17:57:00,147.25,147.25,147.25,147.25,579.0
2023-09-21 17:48:00,147.25,147.25,147.25,147.25,500.0
2023-09-21 17:47:00,147.25,147.25,147.25,147.25,421.0
2023-09-21 17:43:00,147.27,147.3,147.25,147.25,392.0
2023-09-21 17:38:00,147.25,147.25,147.25,147.25,2.0
2023-09-21 17:28:00,147.25,147.25,147.25,147.25,6.0
2023-09-21 17:22:00,147.25,147.25,147.25,147.25,2.0
2023-09-21 17:21:00,147.25,147.25,147.25,147.25,8.0
2023-09-21 17:18:00,147.27,147.3,147.27,147.3,10.0
2023-09-21 17:17:00,147.315,147.315,147.315,147.315,1.0
